id,english,tigrina,usewith,registeredby
838,Heating and Air Conditioning Mechanics and Installers,መሞቒን መምረጺ ሜካኒካውን ኤነርጂን,,gide
839,Heavy and Tractor-trailer Truck Drivers,ከቢድን ትራክተር ዝዓይነታን ናይ ጽእነት ማኪና ዶክተራት,,gide
840,Heavy Vehicle Service Technicians,ናይ ከቢድ ብረት ኣገልግሎት ቴክኒሻናት,,gide
841,Helpers, Laborers, and Material Movers (Hand),ሓገዝቲ: ሸቃሎ: ማተርያል ሞተርስ (Helpers, Laborers, and Material Movers (Hand)),,gide
842,High School Equivalency Diploma Teachers,መምህራን ካልኣይ ደረጃ,,gide
843,High School Principals,ስርዓታት ካልኣይ ደረጃ ቤት ትምህርቲ,,gide
844,High School Teachers,መምህራን ካልኣይ ደረጃ,,gide
845,High School Teachers,መምህራን ካልኣይ ደረጃ,,gide
846,Highway Maintenance Workers,ጽርግያ ጽገና ሰራሕተኛታት,,gide
847,Historians,ጸሓፍቲ ታሪኽ,,gide
848,Home Appliance Repairers,ጽገና ኣባይቲ,,gide
849,Home Health Aides,ጥዕና ገዛ,,gide
850,Hotel Managers,ኣካየድቲ ሆቴል,,gide
851,Housekeeping and Janitorial Workers,ዓቀብቲ ቤትን ሰራሕተኛታት ጃኒተርን,,gide
852,Housekeeping Cleaners,ጽሬት ቤት,,gide
853,Human Resources Managers,ኣካየድቲ ዓቕሚ ሰብ,,gide
854,Human Resources Specialists,ክኢላታት ሰብ-ሃብቲ,,gide
855,Human Service Assistants,ንሰብኣዊ ኣገልግሎት ሓገዝ,,gide
856,Hunting Workers,ሰራሕተኛታት ሃድን,,gide
857,Hydrologists,ሃይድሮጀስት,,gide
858,Industrial Designers,ኢንዱስትርያዊ ነዳፊ,,gide
859,Industrial Engineering Technicians,ኢንዱስትርያዊ ኢንጂነሪንግ ተክኒሻናት,,gide
860,Industrial Engineers,ኢንዱስትርያዊ ኢንጂነሪንግ,,gide
861,Industrial Engineers,ኢንዱስትርያዊ ኢንጂነሪንግ,,gide
862,Industrial Machinery Mechanics and Maintenance Workers,ማሽነሪታት,,gide
863,Industrial Production Managers,ኣካየድቲ ኢንዱስትርያዊ ፍርያት,,gide
864,Information Clerks,ጸሓፍቲ ሓበሬታ,,gide
865,Information Clerks,ጸሓፍቲ ሓበሬታ,,gide
866,Information Research Scientists,ተመራመርቲ ስነ ፍልጠት,,gide
867,Information Security Analysts,ተንተንቲ ጸጥታ ሓበሬታ,,gide
868,Information Systems Managers,ኣካየድቲ ሓበሬታ ስስተምስ,,gide
869,Inspectors, Testers, Sorters, Samplers, and Weighers,ተቘጻጸርቲ ፡ ተስተኛታት ፡ ጋዜጠኛታት ፡ ሳምፕለርስ ፡ ዌዘርስ,,gide
870,Installation, Maintenance, and Repair Worker Helpers,ተኸላ ፡ ጽገና ዝግበረሉ ፡ ከምኡውን ረሳሕ ሰራሕተኛ,,gide
871,Installation, Maintenance, and Repair Workers (all other),ሽመትን ኣካቢትን ሰራሕተኛታት ረዲኤትን (Installation, Maintenance, and Repair Workers (all other)),,gide
872,Instructional Coordinators,መምርሒ ንዚህቡ ኣተሓባበርቲ,,gide
873,Insulation Workers,ንሰራሕተኛታት ምዝያድ,,gide
874,Insurance Sales Agents,ትርጕም መድሕን,,gide
875,Insurance Underwriters,ናይ መድሕን ጽሑፍ,,gide
876,Interior Designers,ውሽጣዊ ንድፊ,,gide
877,Interpreters,ተርጐምቲ,,gide
878,Iron Workers,ሰራሕተኛታት ሓጺን,,gide
879,Janitors,ጃንሆል,,gide
880,Jewelers,ጀወለሪ ናይ ሽልማትን ወርቅን ሰራሕተኛ,,gide
881,Job Analysis Specialists,ኪኢላን ናይ ስራሕ ተንታኒ,,gide
882,Journalists,ጋዜጠኛታት,,gide
883,Judges,መሳፍንቲ ወይ ዳኛ ወይ መማዪ,,gide
884,Kindergarten and Elementary School Teachers,መዋእለ ህጻናትን መባእታዊ ቤት ትምህርትን መምህራን,,gide
885,Kindergarten Teachers,መምህራን መዋእለ ህጻናት,,gide
886,Labor Relations Specialists,ክኢላታት ርክባት ሽቕለት,,gide
887,Laboratory Animal Caretakers,ኣለይቲ ቤተ ፈተነ እንስሳታት,,gide
888,Landscape Architects,ቅርጺ መሬት ወጣናይ,,gide
889,Landscaping, Lawn Service, and Groundskeeping Workers,ሰራሕተኛ ቅርጺ-መሬት ፡ ኣገልግሎት ምእላይ ፡ ዓቀብቲ መሬት,,gide
890,Lawyers,ጠበቓ,,gide
891,Layout Workers (Metal and Plastic),ሰራሕተኛታት መንብሮ (Layout Workers (Metal and Plastic)),,gide
892,Legal Assistants,ሕጋዊ ሓገዝ,,gide
893,Legal Support Workers (all other),ሕጋዊ ደገፍ ወሃብቲ ሰራሕተኛታት (Legal Support Workers (all other)),,gide
894,Legislators,ሓገግቲ,,gide
895,Librarians,ሰነ መጻሓፍቲ,,gide
896,Library Technicians and Assistants,ናይ ቤተ-መጻሕፍቲ ቴክኒሻናትን ሓገዝትን,,gide
897,Licensed Practical and Licensed Vocational Nurses,ፍቓድ ንግዲ ዘለዎምን ፍቓድ ዘለዎምን ናይ ሞያ ነርሳት,,gide
898,Life Scientists,ስነ-ፍልጠተኛታት ህይወት,,gide
899,Life, Physical, and Social Science Technicians (all other),ህይወትን ኣካልን ማሕበራዊ ስነ-ፍልጠት ቴክኒሻንን),,gide
900,Lifeguards and Other Recreational Protective Service Workers,ሓለውቲ ህይወትን ካልኦት ናይ ቀረባ ዕቝባ ኣገልግሎትን,,gide
901,Line Installers and Repairers,ሰራሕተኛ ኣጋጣጠምትን ጸገንቲ መስመርን,,gide
902,Loan Officers,መኰንናት ልቓሕ,,gide
903,Locker Room, Coatroom, and Dressing Room Attendants,ክፍሊ መሕጸቢ ክፍሊ: ኮተቴ: ከምኡውን ኣልባሳት,,gide
904,Locksmiths and Safe Repairers,ኣንጠረኛታት መሸጐርን መዕቈቢኡን,,gide
905,Lodging Managers,ኣካየድቲ መዕረፊ,,gide
906,Logging Workers,ኣመዳድባ ሰራሕተኛታት,,gide
907,Logisticians,ርትዓውያን,,gide
908,Machine and Equipment Setters, Operators and Tenders:,ማሺንን ማዕቐብን ፡ ኦፕሬተራትን ጅማውትን ፦,,gide
909,Machinists,ማሺንስት,,gide
910,Maids,ኣግራድ,,gide
911,Mail Clerks and Mail Machine Operators (Except Postal Service),ካሽፕን ማሽን ኦፕሬተራት ፖስታ (Mail Clerks and Mail Machine Operators (Except Postal Service)),,gide
912,Mail Clerks and Mail Machine Operators (Except Postal Service),ካሽፕን ማሽን ኦፕሬተራት ፖስታ (Mail Clerks and Mail Machine Operators (Except Postal Service)),,gide
913,Maintenance and Repair Workers, General,ሰራሕተኛታት ጽገናን ረዲኤትን ጀነራል,,gide
914,Makeup Artists (Theatrical and Performance),ሜክኣፕ ኣርቲስት (Makeup Artists (Theatrical and Performance)),,gide
915,Management Analysts,ተንተንቲ ምሕደራ,,gide
916,Managers ,ኣካየድቲ ስራሕ ,,gide
917,Manicurists,ስነ ጽባቐን ናይ ኣእዳውን ኣእጋርን ኣጽፋር,,gide
918,Manufactured Building and Mobile Home Installers,ዝተሰርሐ ዝንቐሳቐስ ገዛ ኣጋጣጣሚ,,gide
919,Manufacturing Engineers,ናይ ፍርያት ኢንጅነር,,gide
920,Manufacturing Sales Representatives,ናይ ፍርያት ሸየጣ ወኪል,,gide
921,Mapping Technicians,ናይ ካርታ ሓበሬታ ተክኒሻን,,gide
922,Marble Setters,ኣቐማጢ እምነ በረድ,,gide
923,Marine Engineers,ኢንጅነራት ባሕሪ,,gide
924,Marine Mechanics,መካኒክ ስነ ባሕሪ,,gide
925,Market Research Analysts,ተንተንቲ ምርምር ዕዳጋ,,gide
926,Marketing Managers,ኣካየድቲ መሸጣ,,gide
927,Marriage and Family Therapists,መርዓን ሕክምና ስድራ ቤትን,,gide
928,Masons: Brick, Block, Stone, and Cement,ነደቕቲ ፦ ሕጡብ ፡ ብሎክ ፡ እምኒ ፡ ስሚንቶ,,gide
929,Massage Therapists,ሕክምና ሓፋሽ,,gide
930,Material Movers,ኣንቀሳቓሲ ኣቕሑ,,gide
931,Material Moving Machine Operators,ንዋታዊ ናይ ምግዓዝ ማሽን,,gide
932,Material Moving Workers (all other),ሰራሕተኛታት ንዋታዊ ምግዓዝ (Material Moving Workers (all other)),,gide
933,Material Recording Clerks,መመላእታ ጽሑፍ,,gide
934,Materials Engineers,ናውቲ ኢንጅነር,,gide
935,Materials Scientists,ናይ ናውቲ ስነ ፍልጠተኛታት,,gide
936,Mathematical Science Occupations,ስራሕ ናይ ስነ ቁጽሪ,,gide
937,Mathematical Technicians,ቴክኒሻናት ሕሳብ,,gide
938,Mathematicians,ስነ ሕሳብ,,gide
939,Meat Packers,ዓሻጊ ስጋ,,gide
940,Meat, Poultry, and Fish Cutters and Trimmers,ስጋን ደርሁን ዓሳን ቈረጽትን ትሪመርስን,,gide
941,Mechanical Door Repairers,ጸጋኒ ናይ መካኒካዊ ማዕጾ,,gide
942,Mechanical Engineering Technicians,መካኒካዊ ኢንጅነር ተክኒሻን,,gide
943,Mechanical Engineers,መካኒካል ኢንጂነሪንግ,,gide
944,Mechanics - Automotive,መካኒዝም,,gide
945,Mechanics - Diesel,መካኒክ - ናፍታ,,gide
946,Mechanics - Heating, Air Conditioning, and Refrigeration,መካኒካት - ምህዳእን ኵነታት ኣየርን ምግብን,,gide
947,Mechanics - Industrial Machinery,መካኒዝም - ኢንዱስትሪያዊ ማሽነሪ,,gide
948,Mechanics - Small Engine,መካኒክ ንእሽቶ ኢንጂን,,gide
949,Mechanics, Installers, and Repairers,መካኒካትን መዝሓሊታትን ጸገንቲ,,gide
950,Media and Communication Equipment Workers,ሰራሕተኛታት መራኸቢ ብዙሃንን ኮሙኒኬሽንን,,gide
951,Media and Communication Workers (all other),ሰራሕተኛታት መራኸቢ ብዙሃንን ኮሙኒኬሽንን),,gide
952,Mediators,ማእከላይ,,gide
953,Medical Appliance Technicians,ክኢላታት ተክኒካት ሕክምና,,gide
954,Medical Assistants,ሓገዝ ሕክምና,,gide
955,Medical Billing and Coding,ናይ ሕክምና ክፍሊትን ኮድን,,gide
956,Medical Doctors,ናይ መዲካል ዶክቶራት,,gide
957,Medical Equipment Repairers,ጽገናታት ሕክምና,,gide
958,Medical Laboratory Technologists and Technicians,ክኢላታት ሕክምናን ቴክኒሻናትን,,gide
959,Medical Records Technicians,ክኢላታት ሕክምና ሪከርድ,,gide
960,Medical Scientists,ክኢላታት ሕክምና,,gide
961,Medical Services Managers,ሓለፍቲ ናይ ሕክምና ኣገልግሎታት,,gide
962,Medical Transcriptionists,ናይ ሕክምና ትራንስፎርመሽን,,gide
963,Meeting, Convention, and Event Planners,ኣኼባ: ኣኼባ ኣውራጃ: ከምኡውን ሰብ ውዕለት,,gide
964,Mental Health Counselors,ምኽሪ ኣእምሮኣዊ ጥዕና,,gide
965,Merchandise Displayers and Window Trimmers,ናይ ሸቐጥ መመስረቲ ኣቕሑን ዊንዶው ትሪመርስ,,gide
966,Metal Machine Workers,ሰራሕተኛ ናይ ሓጸዊን ማሽን,,gide
967,Metal Workers,ሰራሕተና ሓጸዊን,,gide
968,Metal Workers and Plastic Workers (all other),ናይ ሓጸዊንን ፕላስቲክን ሰራሕተኛታት),,gide
969,Meteorologists,ክኢላታት ስነ ጠፈር,,gide
970,Meter Readers (Utilities),ሜተር ኣንበብቲ (Meter Readers (Utilities)),,gide
971,Microbiologists,ማይክሮባዮሎጂስት,,gide
972,Middle School Principals,ስርዓታት ቤት ትምህርቲ ማእከላይ,,gide
973,Middle School Teachers,መምህራን ቤት ትምህርቲ ማእከላይ ደረጃ,,gide
974,Middle School Teachers,መምህራን ቤት ትምህርቲ ማእከላይ ደረጃ,,gide
975,Millwrights,ሰራሕተኛ ስነ ጥሕና ወይ ኢንዳስትሪ ማሽን,,gide
976,Mine Cutting and Channeling Machine Operators,ምቑራጽን ዕደናን ናይ ዕደና ማሽን,,gide
977,Mine Shuttle Car Operators,ናይ ነቷጊ ማሽን ኦፐሬቶር,,gide
978,Mining Engineers,ኢንጂነራት ዕደና,,gide
979,Mining Machine Operators,ኦፕሬተራት ዕደና,,gide
980,Mining Safety Engineers,ኣብ ሓለዋ ዕደና ዝነጥፉ,,gide
981,Mixing and Blending Machine Setters, Operators, and Tenders,ምሕዋስን ምውቕቓዕን ማሽን ፡ ኦፕሬተራትን ጅማውትን,,gide
982,Mobile Equipment Service Technicians,ብሞባይል ኢኲፕመንት ሰርቪስ ቴክኒሻናት,,gide
983,Model Makers (Wood),ሰራሒ ሞደል),,gide
984,Models,ሞደላት,,gide
985,Molders, Shapers, and Casters (Except Metal and Plastic),ለሓምን ቀራጽን (Molders, Shapers, and Casters (Except Metal and Plastic)),,gide
986,Morticians,ኣዳላዊ ሬሳ,,gide
987,Motel Managers,ኣካየድቲ ስራሕ,,gide
988,Motion Picture Projectionists,ናይ ተንቀሳቓሲ ስእሊ ኣነጻጻሪ,,gide
989,Motor Vehicle Operators (all other),ናይ ሞተረ ተንቐሳቐስቲ ኦፐሬቶር),,gide
990,Motorcycle Mechanics,መካኒካል ሞተር ሳይክል,,gide
991,MRI Technologists,ኤም ኣር ኣይ ክኢላታት ቴክኖሎጂ,,gide
992,Multimedia Artists and Animators,እተፈላለየ ኣልባሳትን ኣኒሜሽንን,,gide
993,Museum Technicians,ቴክኒሻናት ቤተ-መዘክር,,gide
994,Music Directors and Composers,መርበባት ሙዚቃን ኣቀናበርቲ ድርጅታትን,,gide
995,Musical Instrument Repairers and Tuners,ጽገናታት ሙዚቃ,,gide
996,Musicians,ሙዚቀኛታት,,gide
997,Nail Technicians,ሓካይም ኣፍንጫ,,gide
998,Natural Sciences Managers,ኣካየድቲ ባህርያዊ ስነ-ፍልጠት,,gide
999,Naval Architects,ህንጻ ሓይሊ ባሕሪ,,gide
1000,Network Architects,ነናይ ኔትዎርክ ክኢላታት,,gide
1001,Network Systems Administrators,ኣመሓደርቲ መርበብ ስስተምስ,,gide
1002,News Analysts,ተንተንቲ ዜና,,gide
1003,Nonretail Sales Workers,ኣወሃሃድቲ ናይ ሸቐጥ ዘይብሉ ባይታታት,,gide
1004,Nuclear Engineers,ኑክልየር ኢንጂነራት,,gide
1005,Nuclear Medicine Technologists,ኑክልየሳዊ ቴክኖሎጂ,,gide
1006,Nuclear Technicians,ኑክለራዊ ቴክኒካት,,gide
1007,Nurse Anesthetists, Nurse Midwives, and Nurse Practitioners,ኣላዪት ሕሙማት ፡ መጕዚት ፡ መሕረስቲ ነርስ ፡ ከምኡ እውን ነርስ ዘካይደኦ ሕክምና,,gide
1008,Nurses,ኣለይቲ ሕሙማት,,gide
1009,Nursing Assistants,ተሓጋገዝቲ ነርስታት,,gide
1010,Nutritionists,ስነ ማእዛታት,,gide
1011,Occupational Health and Safety Specialists,ናይ ስራሕ ሓለዋ ጥዕናን ድሕንነት ሞያተኛታት,,gide
1012,Occupational Health and Safety Technicians,ናይ ስራሕ ሓለዋ ጥዕናን ድሕንነት ቴክኒሻናት,,gide
1013,Occupational Therapists,ዝቖሰለ ወይ ዝሰንከለ ሰብ ናይ ምጽጋን ቁስልን ናይ ንቡር ህወት ዝመልስን ስራሕ,,gide
1014,Occupational Therapy Assistants and Aides,ተሓጋጋዚ ናይ ኣካላዊ ሽግራት ንዘለዎ ሰብ ዝጽግንን ናብ ንቡር ዝመልስን ሰብ,,gide
1015,Office and Administrative Support Workers,ናይ ቤት ጽሕፈትን ምምሕዳርን ደገፍ,,gide
1016,Office Clerks,ኣቕሽሽቲ ቤት ፅሕፈት,,gide
1017,Office Machine Operators (Except Computer),ኦፕሬተራት ቤት ጽሕፈት (Office Machine Operators (Except Computer)),,gide
1018,Operations Research Analysts,ተንተንቲ ምርምር መጥባሕቲ,,gide
1019,Ophthalmic Medical Technicians,ክኢላታት ሕክምና ማህጸን,,gide
1020,Opticians, Dispensing,ናይ ዓይኒ ክንክን,,gide
1021,Optometrists,ገለልተኛታት,,gide
1022,Orderlies,ስርዓት,,gide
1023,Orthotists,ክኢላታት ስነ ጥንቲ,,gide
1024,Packaging and Filling Machine Operators and Tenders,ናይ ዕሹግ ማሽን / ማሽን / ን ጅማውትን,,gide
1025,Painters (Construction and Maintenance),ቃንዛ (Painters (Construction and Maintenance)),,gide
1026,Painting Workers,ሰራሕተኛታት ስእሊ,,gide
1027,Paper Goods Machine Setters, Operators, and Tenders,ጽቡቕ ማሽን ኦፕሬተርን ጅማውትን ወረቐት,,gide
1028,Paperhangers,ለጠፍቲ ወረቐት ወይ ብ ወረቐት ዘጸባብቕ,,gide
1029,Paralegals,ንሕጋዊ ነገራት ዝተማህረ ግን ወግዓዊ ናይ ሕጊ ኪኢላ ዘይኮነ,,gide
1030,Paramedics,ንቐዳማይ ረዲኤት ንምሃብ ዝተማህረ ,,gide
1031,Parking Enforcement Workers,ሰራሕተኛ ስነ ዕሸጋ ወይ መጽኒሒ ቦታ መካዪን,,gide
1032,Parking Lot Attendants,መዕረፊ ማካይን,,gide
1033,Patternmakers (Wood),ዕንጸይታዊ ምልጋብ),,gide
1034,Payroll Clerks,ኣመሓዳሪ ናይ ክፍሊት ዶሞዝ ሰራሕተኛታት,,gide
1035,Pedicurists,ኪኢላ ስነ ጽፍሪ,,gide
1036,Personal Care Aides,ብሕታዊ ክንክን,,gide
1037,Personal Care and Service Workers,ናይ ግሊ ሓለዋን ናይ ኣገልግሎት ሰራሕተኛታትን,,gide
1038,Personal Financial Advisors,ናይ ውልቂ ፋይናንሳውያን ኣማኸርቲ,,gide
1039,Personal Service Workers,ናይ ግሊ ሰራሕተኛታት,,gide
1040,Pest Control Workers,ንሰራሕተኛታት ፌስታል,,gide
1041,Petroleum Engineers,ኢንጂነራት ነዳዲ,,gide
1042,Petroleum Pump System Operators, Refinery Operators, and Gaugers,ናይ ፐትሮልዩም ቱቦ ኦፐሬቶር,,gide
1043,Petroleum Technicians,ናይ ነዳዲ ቴክኒካት,,gide
1044,Pharmacists,ፋርማሲስት,,gide
1045,Pharmacy Technicians,ክኢላታት ፋርማሲ,,gide
1046,Phlebotomists,ናይ ፍሎቦቶት,,gide
1047,Photogrammetrists,ፎቶግራማት,,gide
1048,Photographers,ሰኣልቲ,,gide
1049,Photographic Process Workers and Processing Machine Operators,ከይዲ ስራሕ ስእልን ከይዲ ምድላው ማሽን,,gide
1050,Physical Scientists (all other),ኣካላዊ ሳይንቲስት (Physical Scientists (all other)),,gide
1051,Physical Therapist Assistants and Aides,ናይ ኣካላዊ ሕክምና ሓገዝን ሓገዝን,,gide
1052,Physical Therapists,ኣካላዊ ሕክምና,,gide
1053,Physician Assistants,ንሓኪም ዝሕግዙ ሓኪማት,,gide
1054,Physicians,ፊዝሻንስ,,gide
1055,Physicists,ፊዝክስት,,gide
1056,Pipefitters,ኣጋጣጠምቲ ቱቦታት,,gide
1057,Pipelayers,ኣንጸፍቲ ቱቦታት,,gide
1058,Plant and System Operators (all other),ናይ ተኽልን ምውሃሃድን ኦፐሬቶር),,gide
1059,Plasterers and Stucco Masons,ሃረምቲ ተኖኮ ,,gide
1060,Plastic Machine Workers,ናይ ፕላስቲክ ማሽን ሰራሕተኛ,,gide
1061,Plumbers,ኣጋጣጣሚ ቱቦታት,,gide
1062,Podiatrists,ሓካይም ፖድስት,,gide
1063,Police and Detectives,ፖሊስን መርመራን,,gide
1064,Police Dispatchers,ናይ ፖሊስ ንብረት ወይዞም ወንጨፍቲ,,gide
1065,Political Scientists,ፖለቲካዊ ስነ-ፍልጠተኛታት,,gide
1066,Postal Service Workers,ሰራሕተኛታት ኣገልግሎት ፖስታ,,gide
1067,Postmasters and Mail Superintendents,ናይ ፖስትን ኢመይልን ኣመሓደርቲ,,gide
1068,Postsecondary Education Administrators,ርእሰ ምምሕዳር ፖስትሞክራት ትምህርቲ,,gide
1069,Postsecondary Teachers,ርእሰ ምትእምማን ዘለዎም መምህራን,,gide
1070,Power Plant Operators, Distributors, and Dispatchers,ተኸተልቲ ሓይሊ ኤለክትሪክ ፡ ኣከፋፈልቲ ፡ ወይ መናዓብቲ,,gide
1071,Practical Nurses, Licensed,ግብራውያን ኣለይቲ ሕሙማት ፡ ሕጋውያን,,gide
1072,Precious Stone and Metal Workers,ሰራሕተኛ ክቡራት ኣእማንን ሓጸዊንን,,gide
1073,Precision Instrument and Equipment Repairers (all other),ጽገና ክቡራት መሳርሒታትን ኣቕሑኝ),,gide
1074,Prepress Technicians and Workers,ቴክኒሻናትን ሰራሕተኛታትን ኣዳለዉ,,gide
1075,Preschool Directors,ዳይረክተር ቅድመ ትምህርቲ,,gide
1076,Preschool Teachers,መምህር ቅድመ ትምህርቲ,,gide
1077,Pressers (Textile, Garment, and Related Materials),ጸቕጢ (Pressers (Textile, Garment, and Related Materials)),,gide
1078,Print Binding and Finishing Workers,ናይ ሕትመት ሓተምትን ወዳእትን ሰራሕተኛ,,gide
1079,Printing Press Operators,ወሃብቲ ኣገልግሎት ሕትመት,,gide
1080,Private Detectives and Investigators,ናይ ውልቂ መርመራ,,gide
1081,Probation Officers,ናይ ፈተነ መርማርን ኣመሓዳርን ደምዳምን,,gide
1082,Producers - Film, Theater,ንግዳዊ ርክባት - ፊልም ፡ ትያትር,,gide
1083,Production and Operating Workers,ሰራሕተኛታት ምፍራይን መቀያየሪ ኣቕሑን,,gide
1084,Production Managers,ኣካየድቲ ስራሕ,,gide
1085,Production Worker Helpers,ተሓጋጋዚ ን ናይ ውጺኢት ሰራሕተኛ,,gide
1086,Production Workers (all other),ሰራሕተኛ ኣብ ትካል),,gide
1087,Promotions Managers,ኣካየድቲ ስራሕ ኣብ መተባብዒ ማእከል,,gide
1088,Proofreaders and Copy Markers,ኣንበብቲ መሰኻኽርን ናይ ዋንነት ኣጽደቕትን,,gide
1089,Property Managers,ኣካየድቲ ንብረት,,gide
1090,Prosthetists,ሕክምናዉ ስነዓት ናብ መላግቦ ኢድ እግሪ ወይ ካልእ ኣካል ወዲ ሰብ,,gide
1091,Protective Service Workers,ሰራሕተኛታት ኣገልግሎት ውሕስነት,,gide
1092,Psychiatric Technicians and Aides,ክኢላታት ስነ-ኣእምሮን ክኢላ መወሸቢን,,gide
1093,Psychologists,ስነ-ኣእምሮኛ,,gide
1094,Public Relations Managers,ኣካየድቲ ህዝባዊ ርክባት,,gide
1095,Public Relations Specialists,ክኢላታት ህዝባዊ ርክባት,,gide
1096,Pump Operators,ኦፕሬተራት ፓምፕ,,gide
1097,Purchasing Agents,ንዕዳጋ ዝምልከት ጕዳይ,,gide
1098,Purchasing Managers,ኣካየድቲ ስራሕ ዓደግቲ,,gide
1099,Quality Control Inspectors,ዓይነታዊ ቁጽጽር ተመራማርን,,gide
1100,Quarry Rock Splitters,ፈላጺ እምኒ,,gide
1101,Radiation Therapists,ሕክምና ጨረር,,gide
1102,Radio Operators,ኦፕሬተራት ሬድዮ,,gide
1103,Radio, Cellular, and Tower Equipment Installers and Repairers,ሬድዮ: ሞባይል:ታወር ዝኣመሰሉ መሳርሒታትን ኣጋጣጣምን ኣዕራዪን,,gide
1104,Radiologic Technologists,ክኢላታት ቴክኖሎጂ ራዲዮሎጂ,,gide
1105,Rail Transportation Workers (all other),ሰራሕተኛታት መጓዓዝያ ባቡር),,gide
1106,Rail-Track Laying and Maintenance Equipment Operators,መገዲ ባቡርን መሳርሒታትን ኣንጻፍን ጸጋንን,,gide
1107,Railroad Occupations,ስራሕ መንገዲ ባቡር,,gide
1108,Ranchers,ሓረስታይ ናይ ከብቲ ሕርሻ,,gide
1109,Real Estate Brokers and Sales Agents,ወኪል ሸያጢ ወይ ዓዳጊ ናይ ዘይንቀሳቐስ ንብረት,,gide
1110,Real Estate Managers,ኣካያዲ ስራሕ ናይ ዘይንቀሳቐስ ንብረት,,gide
1111,Receptionists,ተቐባሊ ጋሻ,,gide
1112,Recreation Workers,ሰራሕተኛታት መዘናግዒ,,gide
1113,Recreational Therapists,መዘናግዒ ሞያውያን ሕክምና,,gide
1114,Recreational Vehicle Service Technicians,ናይ መዘናግዒ መኪና ኣገልግሎት ተክኒሻን,,gide
1115,Referees, Umpires, and Other Sports Officials,ጠበቓታትን ተሓጋገዝትን ካልኦት ሰበ ስልጣን ስፖርትን,,gide
1116,Refractory Materials Repairers (Except Brickmasons),ጸጋናይ ናይ ህንጻ ንብረት(Refractory Materials Repairers (Except Brickmasons)),,gide
1117,Refrigeration Mechanics and Installers,ኣጋጣጣሚ ፍረጅ,,gide
1118,Registered Nurses,ምዝጉባት ነርስታት,,gide
1119,Rehabilitation Counselors,ናይ ተሃድሶ ምኽሪ,,gide
1120,Reinforcing Iron and Rebar Workers,ንሓጺንን ንተባባዕነትን ሰራሕተኛታት ኣደልድሎ,,gide
1121,Religious Activities and Education Directors,ሃይማኖታዊ ንጥፈታትን መምርሒ ትምህርትን,,gide
1122,Religious Workers,ናይ ሃይማኖት ሰራሕተኛታት,,gide
1123,Repair and Maintenance Workers, General,ሰራሕተኛታት ጽገናን ጽገናን,,gide
1124,Reporters,ጋዜጠኛታት,,gide
1125,Residential Advisors,ኣማኸርቲ መንበሪ ኣባይቲ,,gide
1126,Respiratory Therapists,ሕክምና ስርዓተ ምስትንፋስ,,gide
1127,Retail Sales Workers,ሰራሕተኛታት ሸቐጥ,,gide
1128,Riggers,ኪኢላ ንቅስቓስ ከበድቲ ንብረት,,gide
1129,Roof Bolters (Mining),ኪኢላ ኣሳሪ ናይ ናሕሲ መጋጣጥሞ መሳምር),,gide
1130,Roofers,ኪኢላ ምግጥጣም ናሕሲ,,gide
1131,Rotary Drill Operators (Oil and Gas),ናይ ኩዕታ ኦፐሬቶር(Rotary Drill Operators (Oil and Gas)),,gide
1132,Roustabouts (Oil and Gas),ኪኢላ ዘይኮነ ኣብ ናይ ዕደና ዘይቲ ዝነጥፍ(Roustabouts (Oil and Gas)),,gide
1133,Sales and Related Workers,መሸጣን ምስኡ ዝዛመድን ሰራሕተኛ,,gide
1134,Sales Engineers,ነጋዶ,,gide
1135,Sales Managers,ኣካየድቲ ሸየጥቲ,,gide
1136,Sales Representatives, Services,ሸያጢ ወከልቲ ፣ ኣገልግሎታት,,gide
1137,School Counselors,ምኽሪ ቤት ትምህርቲ,,gide
1138,School Principals - Elementary, Middle, and High,መባእታን ማእከላይን ላዕለዋይን ደረጃ ቤት ትምህርቲ,,gide
1139,Science Technicians,ክኢላታት ስነ-ፍልጠት,,gide
1140,Secretaries,ሰክረታሪ,,gide
1141,Securities Sales Agents,ወኪል ሰክረታሪ ኣብ መሸጣ,,gide
1142,Security and Fire Alarm Systems Installers,ቅሳነትን ሓዊ ኣላርም ሲስተምስ ኢንስታልስ,,gide
1143,Security Guards,ሓለዋ ጸጥታ,,gide
1144,Segmental Pavers,ናይ መጻኢ መደብ,,gide
1145,Semi Truck Drivers,ሓውሲ ናይ ጽዕነት መኪና ኣውቲስታ,,gide
1146,Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders,ምፍልላይ ፡ ምቅርራብ ፡ ምልላይ ፡ ምጽብባቕ ፡ ማሽን ፡ ኦፐረይተርን ጅማውትን,,gide
1147,Septic Tank Servicers and Sewer Pipe Cleaners,ኣጽረይቲ ናይ ረሳሕ ማይ ዝሓልፈሉ ቱቡታት,,gide
1148,Service Unit Operators (Oil, Gas, and Mining),ወሃቢ ኣገልግሎት ናይ ክፍሊ ኦፐሬተራት(Service Unit Operators (Oil, Gas, and Mining)),,gide
1149,Set and Exhibit Designers,ኣዳላዊ ንድፊ,,gide
1150,Sewers (Hand),ትሕተ ምድራዊ ቱቦ መንገዲ ርስሓት ማይ),,gide
1151,Sewing Machine Operators,ኦፕሬተራት ስፌት ማሽን,,gide
